"범죄별(1)",범죄별(2),범죄별(3),2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020
"범죄별(1)",범죄별(2),범죄별(3),합계,동종재범,동종재범,동종재범,동종재범,동종재범,동종재범,동종재범,동종재범,이종재범,이종재범,이종재범,이종재범,이종재범,이종재범,이종재범,이종재범
"범죄별(1)",범죄별(2),범죄별(3),소계,소계,1개월 이내,3개월 이내,6개월 이내,1년 이내,2년 이내,3년 이내,3년 초과,소계,1개월 이내,3개월 이내,6개월 이내,1년 이내,2년 이내,3년 이내,3년 초과
"특별법범",물환경보전법,소계,222,20,-,-,3,8,2,2,5,202,-,3,2,15,12,23,147
"특별법범",병역법,소계,896,208,1,5,16,91,42,25,28,688,14,25,46,196,109,104,194
"특별법범",부정경쟁방지 및 영업비밀보호에 관한법률,소계,216,5,-,-,2,1,1,1,-,211,2,2,2,18,8,25,154
"특별법범",부정수표단속법,소계,226,49,3,6,3,22,3,8,4,177,1,3,5,38,13,18,99
"특별법범",사행행위등규제및처벌특례법,소계,337,88,1,4,3,14,9,14,43,249,-,2,8,42,19,45,133
"특별법범",산림자원의조성및관리에관한법률,소계,181,20,-,-,1,3,3,2,11,161,-,-,-,14,13,10,124
"특별법범",산업안전보건법,소계,315,79,1,3,9,17,12,14,23,236,3,5,3,14,17,21,173
"특별법범",산지관리법,소계,549,81,-,-,2,15,10,12,42,468,2,5,4,43,43,59,312
"특별법범",상표법,소계,999,334,6,9,14,63,33,36,173,665,3,3,10,62,44,59,484
"특별법범",선박안전법,소계,174,55,-,-,4,15,13,6,17,119,-,3,4,9,12,16,75
"특별법범",선박직원법,소계,175,14,-,-,1,4,1,3,5,161,-,2,8,22,28,19,82
"특별법범",성매매알선등행위의처벌에관한법률,소계,4176,1218,27,40,68,255,185,183,460,2958,24,47,66,382,312,414,1713
"특별법범",수산업법,소계,731,221,4,4,10,60,41,37,65,510,2,5,7,66,59,71,300
"특별법범",수산자원관리법,소계,477,113,-,2,4,27,16,20,44,364,1,5,10,47,52,43,206
"특별법범",식품위생법,소계,3770,1489,43,80,112,461,176,157,460,2281,5,22,38,219,188,234,1575
"특별법범",아동·청소년의성보호에관한법률(성매수등),소계,361,82,6,7,12,14,19,6,18,279,16,16,3,89,36,29,90
"특별법범",아동·청소년의성보호에관한법률(성착취물등),소계,476,104,8,9,14,18,14,10,31,372,7,9,15,66,37,50,188
"특별법범",아동복지법,소계,3428,560,20,41,54,186,82,61,116,2868,25,85,85,330,248,275,1820
"특별법범",여객자동차운수사업법,소계,764,154,5,1,8,59,37,19,25,610,1,9,13,102,50,48,387
"특별법범",여신전문금융업법,소계,633,122,10,11,14,33,14,16,24,511,10,15,31,78,44,58,275
"특별법범",예비군법,소계,1047,415,10,30,51,150,66,68,40,632,12,19,32,175,98,119,177
