"범죄별(1)",범죄별(2),범죄별(3),나이
"범죄별(1)",범죄별(2),범죄별(3),소계,소계,14세,15세,16세,17세,18세,소계,19세,20세,21세,22세,23세,24세,25세,26~30세,31~35세,36~40세,41~45세,46~50세,51~55세,56~60세,61~70세,71세이상,소계
"특별법범",노동조합및노동관계조정법,소계,1058,-,-,-,-,-,-,910,-,-,-,-,-,-,-,2,12,31,78,161,199,201,161,65,148
"특별법범",농수산물유통및가격안정에관한법률,소계,48,-,-,-,-,-,-,46,-,-,-,-,-,-,-,-,1,1,4,6,7,9,18,-,2
"특별법범",농수산물의원산지표시에관한법률,소계,2093,-,-,-,-,-,-,2080,-,1,-,2,1,6,11,101,166,245,261,330,325,313,287,31,13
"특별법범",농지법,소계,1729,-,-,-,-,-,-,1709,-,-,-,1,-,-,1,11,44,82,121,183,266,324,488,188,20
"특별법범",대기환경보전법,소계,2529,-,-,-,-,-,-,2455,-,-,-,1,-,1,1,32,44,152,201,420,589,485,440,89,74
"특별법범",대부업등의등록및금융이용자보호에관한법률,소계,2142,8,-,-,-,1,7,2083,31,56,32,48,57,66,47,394,308,312,179,156,106,120,128,43,51
"특별법범",도로교통법,소계,13458,740,31,64,200,204,241,12660,238,234,189,231,236,287,267,1437,1133,1227,1147,1338,1345,1268,1407,676,58
"특별법범",도로교통법(무면허운전),소계,22666,3678,375,772,1007,901,623,18956,523,441,375,400,405,384,364,1959,1791,1694,1449,1757,2038,2073,2179,1124,32
"특별법범",도로교통법(사고후미조치),소계,9520,153,15,21,31,38,48,9265,60,69,74,121,153,155,188,912,822,904,859,1031,1159,1049,1240,469,102
"특별법범",도로교통법(음주운전),소계,97709,481,3,11,61,108,298,97207,497,547,849,1108,1495,1930,2111,12896,11271,13206,11737,12755,10955,8419,6331,1100,21
"특별법범",도로교통법(음주측정거부),소계,3050,4,-,-,-,2,2,3046,8,5,14,16,28,25,38,252,263,418,363,479,437,381,275,44,-
"특별법범",도로법,소계,2341,1,-,-,-,1,-,2320,1,3,1,2,5,1,7,36,78,162,276,412,491,439,348,58,20
"특별법범",도시및주거환경정비법,소계,895,-,-,-,-,-,-,781,-,-,-,-,-,-,-,2,2,12,32,68,86,158,288,133,114
"특별법범",독점규제및공정거래에관한법률,소계,42,-,-,-,-,-,-,33,-,-,-,-,-,-,-,1,-,3,5,4,2,6,9,3,9
"특별법범",디자인보호법,소계,558,-,-,-,-,-,-,524,-,-,2,1,1,4,6,41,64,68,92,74,67,53,43,8,34
"특별법범",마약류관리에관한법률(대마),소계,2340,23,-,1,1,7,14,2076,26,24,46,83,89,113,99,615,389,210,112,80,70,48,46,26,241
"특별법범",마약류관리에관한법률(마약),소계,2000,37,-,-,8,9,20,1941,1,13,10,3,2,3,5,35,24,35,33,54,96,187,558,882,22
"특별법범",마약류관리에관한법률(향정),소계,8933,75,2,6,16,16,35,8202,84,103,150,175,209,208,227,1181,1129,1153,1054,1051,699,472,251,56,656
"특별법범",물환경보전법,소계,676,-,-,-,-,-,-,641,-,-,-,1,1,-,3,7,18,37,61,101,129,118,141,24,35
"특별법범",배타적경제수역에서의외국인어업등에관한주권적권리의행사에관한법률,소계,97,-,-,-,-,-,-,63,-,-,-,-,-,-,-,-,3,11,9,19,16,2,3,-,34
"특별법범",범죄수익은닉의규제및처벌등에관한법률,소계,340,5,-,-,-,-,5,210,1,-,2,3,3,6,3,18,20,32,29,39,19,15,18,2,125
"특별법범",변호사법,소계,586,-,-,-,-,-,-,513,-,-,-,-,1,1,-,1,15,48,51,81,90,81,118,26,73
"특별법범",병역법,소계,1664,-,-,-,-,-,-,1653,56,84,105,110,156,197,241,523,102,48,9,6,5,6,5,-,11
"특별법범",보조금관리에관한법률,소계,2756,-,-,-,-,-,-,2720,1,2,1,3,3,12,6,77,121,243,268,369,420,445,507,242,36
"특별법범",부동산실권리자명의등기에관한법률,소계,1045,-,-,-,-,-,-,969,-,-,2,-,-,-,5,14,44,65,81,149,131,192,214,72,76
"특별법범",부정경쟁방지및영업비밀보호에관한법률,소계,1211,1,-,-,1,-,-,1148,1,-,1,3,4,15,16,79,124,235,199,181,123,104,58,5,62
"특별법범",부정수표단속법,소계,663,-,-,-,-,-,-,628,-,4,1,-,-,2,-,7,5,23,23,81,136,123,183,40,35
"특별법범",사행행위등규제및처벌특례법,소계,433,-,-,-,-,-,-,429,2,-,1,-,2,13,5,27,46,51,54,60,64,62,38,4,4
"특별법범",산림자원의조성및관리에관한법률,소계,928,-,-,-,-,-,-,915,-,-,-,-,-,-,-,1,5,20,35,85,148,223,297,101,13
"특별법범",산업안전보건법,소계,5641,-,-,-,-,-,-,5272,-,-,-,1,1,-,-,22,67,195,486,1153,1384,1176,697,90,369
"특별법범",산지관리법,소계,2785,-,-,-,-,-,-,2746,-,1,-,-,-,-,1,5,22,56,124,282,430,564,931,330,39
"특별법범",상표법,소계,3586,2,1,-,-,-,1,3357,3,6,4,11,25,36,46,360,411,486,449,468,386,333,275,58,227
"특별법범",석유및석유대체연료사업법,소계,711,-,-,-,-,-,-,708,-,-,-,-,-,2,4,24,32,84,99,113,129,73,122,26,3
"특별법범",선박안전법,소계,209,-,-,-,-,-,-,209,-,-,-,-,-,-,-,-,4,4,12,24,29,37,79,20,-
"특별법범",선박직원법,소계,219,-,-,-,-,-,-,219,-,-,-,-,-,1,-,1,7,8,17,25,41,41,66,12,-
"특별법범",성매매알선등행위의처벌에관한법률,소계,8836,88,8,10,9,18,43,8497,81,122,131,163,193,214,222,1346,1328,1406,979,734,558,490,431,99,251
"특별법범",수도법,소계,195,1,-,-,-,-,1,194,2,-,3,2,4,2,3,18,23,31,28,16,27,15,15,5,-
"특별법범",수산업법,소계,1376,-,-,-,-,-,-,1372,-,-,-,-,-,1,2,9,17,60,118,149,230,313,390,83,4
"특별법범",수산자원관리법,소계,1154,-,-,-,-,-,-,1150,-,-,-,-,1,1,1,6,31,78,99,132,172,254,327,48,4
"특별법범",식품위생법,소계,8530,8,-,-,4,2,2,8464,14,26,30,40,63,58,55,483,642,762,771,1040,1307,1486,1423,264,58
"특별법범",신용정보의이용및보호에관한법률,소계,113,-,-,-,-,-,-,101,-,1,-,-,-,-,1,16,14,14,12,21,12,6,3,1,12
"특별법범",아동·청소년의성보호에관한법률(성매수등),소계,713,191,20,38,37,53,43,510,42,40,17,19,21,23,16,91,72,61,37,23,25,12,5,6,12
"특별법범",아동·청소년의성보호에관한법률(성착취물등),소계,3000,760,129,169,167,152,143,2217,209,138,135,132,169,149,139,472,275,180,94,66,28,27,4,-,23
"특별법범",아동복지법,소계,7637,108,23,22,15,30,18,7495,45,39,40,47,61,81,88,508,737,1334,1626,1511,743,355,214,66,34
"특별법범",액화석유가스의안전관리및사업법,소계,140,-,-,-,-,-,-,139,-,-,1,-,-,-,1,3,3,12,16,22,40,20,18,3,1
"특별법범",약사법,소계,2334,-,-,-,-,-,-,2297,-,4,3,14,12,12,16,171,267,304,264,296,254,225,270,185,37
"특별법범",여객자동차운수사업법,소계,1211,5,-,-,-,1,4,1181,5,5,10,15,10,14,12,59,117,149,129,138,131,144,216,27,25
"특별법범",여신전문금융업법,소계,1388,89,35,16,13,13,12,1239,7,12,12,10,6,17,11,63,92,122,134,163,181,158,188,63,60
"특별법범",영유아보육법,소계,276,-,-,-,-,-,-,272,-,-,-,-,-,-,-,6,13,46,61,59,49,29,8,1,4
"특별법범",예비군법,소계,1610,-,-,-,-,-,-,1577,-,-,4,19,52,81,116,1041,198,43,8,-,5,5,4,1,33
"특별법범",옥외광고물등의관리와옥외광고산업진흥에관한법률,소계,172,-,-,-,-,-,-,162,-,-,-,1,-,-,-,6,11,16,22,23,27,21,23,12,10
"특별법범",외국환거래법,소계,492,-,-,-,-,-,-,412,-,-,1,3,2,2,3,51,89,82,63,48,31,12,21,4,80
"특별법범",위험물안전관리법,소계,768,-,-,-,-,-,-,765,-,-,-,-,2,2,-,10,13,44,87,133,163,160,129,22,3
"특별법범",유사수신행위의규제에관한법률,소계,2844,-,-,-,-,-,-,2659,-,2,-,5,7,15,15,100,96,166,281,415,508,519,488,42,185
"특별법범",의료기기법,소계,423,-,-,-,-,-,-,416,-,-,2,1,1,1,4,33,49,49,60,65,56,46,44,5,7
"특별법범",의료법,소계,6052,7,-,1,1,4,1,5882,18,25,32,22,63,61,83,551,710,929,751,859,677,575,452,74,163
"특별법범",자동차관리법,소계,24966,463,-,8,100,180,175,24190,239,227,217,288,299,313,313,1848,1873,2864,2827,3419,3343,2882,2690,548,313
"특별법범",자동차손해배상보장법,소계,19108,404,3,11,120,150,120,18252,165,133,128,160,187,197,231,1345,1399,1787,2006,2591,2801,2548,2049,525,452
